2021-05-26 20:51:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}}
2021-05-26 22:17:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '5天後的白天面臨危害'}}
2021-05-26 22:20:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}}
2021-05-26 22:21:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-26 22:24:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-27 17:58:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-05-27 21:23:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-05-27 21:24:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-27 21:26:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-05-28 22:19:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-28 22:20:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-05-28 22:23:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-05-28 22:25:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}}
2021-05-28 22:25:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-28 22:26:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-28 22:28:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-28 22:28:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-28 22:30:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 11:44:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 11:45:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 14:59:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 14:59:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 16:26:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 16:27:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的晚上面臨危害'}}
2021-05-31 16:27:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的晚上面臨危害'}}
2021-05-31 16:29:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 16:30:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 16:31:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 16:37:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 16:54:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 16:55:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 16:56:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 16:57:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 16:58:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的晚上面臨危害'}}
2021-05-31 16:58:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 17:00:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的晚上面臨危害'}}
2021-05-31 17:02:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 17:20:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 17:22:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 17:25:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-05-31 17:26:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 17:27:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 17:30:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 17:30:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 18:03:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-05-31 18:03:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:04:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:05:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:08:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:08:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-05-31 18:08:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 18:09:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:09:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:10:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:11:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:12:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-05-31 18:12:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:13:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:16:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-05-31 18:18:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 18:21:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-05-31 18:21:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '4天後的晚上面臨危害'}}
2021-05-31 18:21:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-05-31 18:22:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的晚上面臨危害'}}
2021-05-31 18:25:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:26:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的白天面臨危害'}}
2021-05-31 18:40:{'高溫': {'method': '提早預警，可在高溫發生前提早採取降溫措施，同即時尺度採取手段', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的晚上面臨危害'}}
2021-05-31 23:15:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的白天面臨危害'}}
2021-05-31 23:24:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的晚上面臨危害'}}
2021-05-31 23:24:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的晚上面臨危害'}}
2021-05-31 23:25:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '4天後的晚上面臨危害'}}
2021-05-31 23:31:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}}
2021-05-31 23:31:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}}
2021-05-31 23:34:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}, '高濕': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '0天後的白天面臨危害'}}
2021-05-31 23:35:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '6天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '6天後的白天面臨危害'}}
2021-05-31 23:41:{'高溫': {'method': '評估是否實施搶收', 'risk_factor': 'Exposure', 'time': '3天後的晚上面臨危害'}, '高濕': {'method': '提早預警，可在高濕發生前提早採取除濕措施，如放置乾草、乾土於溫室內吸收水氣、減少直接暴露於空氣中的水體', 'risk_factor': 'Adaptation', 'time': '5天後的白天面臨危害'}}
